Filename,Packet Loss (1/n) %,Window Size,Timeout,Time
test_long.txt,500,40,300,2.577178955
test_border.txt,500,40,100,0.37547183
test_border.txt,500,40,200,0.168911219
test_border.txt,500,40,300,0.169664145
test_short.txt,1000,40,100,0.183221102
test_short.txt,1000,40,200,0.177222013
test_short.txt,1000,40,300,0.180464983
accelerator.jpg,1000,40,100,3.986835957
accelerator.jpg,1000,40,200,3.985992908
accelerator.jpg,1000,40,300,5.472833872
test_medium.txt,1000,40,100,1.028030872
test_medium.txt,1000,40,200,1.205822945
test_medium.txt,1000,40,300,1.2826581
test_short.txt,1000,40,100,0.189759016
test_short.txt,1000,40,200,0.174568892
test_short.txt,1000,40,300,0.185315847
test_long.txt,1000,40,100,1.691118002
test_long.txt,1000,40,200,1.961457014
test_long.txt,1000,40,300,1.687713861
test_border.txt,1000,40,100,0.16698885
test_border.txt,1000,40,200,0.17948699
test_border.txt,1000,40,300,0.166120052
test_short.txt,100,80,100,0.172214985
test_short.txt,100,80,200,0.176222086
test_short.txt,100,80,300,0.183324814
accelerator.jpg,100,80,100,4.235819101
accelerator.jpg,100,80,200,9.066774845
accelerator.jpg,100,80,300,11.76610708
test_medium.txt,100,80,100,1.061743021
test_medium.txt,100,80,200,2.498903036
test_medium.txt,100,80,300,3.489773989
test_short.txt,100,80,100,0.178231955
test_short.txt,100,80,200,0.183229923
test_short.txt,100,80,300,0.18523097
test_long.txt,100,80,100,1.956559896
test_long.txt,100,80,200,2.516455889
test_long.txt,100,80,300,4.939435005
test_border.txt,100,80,100,0.165235996
test_border.txt,100,80,200,0.380134821
test_border.txt,100,80,300,0.189249039
test_short.txt,500,80,100,0.184831858
test_short.txt,500,80,200,0.17505908
test_short.txt,500,80,300,0.179224014
accelerator.jpg,500,80,100,2.840591908
accelerator.jpg,500,80,200,3.618998051
accelerator.jpg,500,80,300,4.608977795
test_medium.txt,500,80,100,0.977979183
test_medium.txt,500,80,200,0.855050087
test_medium.txt,500,80,300,1.480854034
test_short.txt,500,80,100,0.183590889
test_short.txt,500,80,200,0.181226969
test_short.txt,500,80,300,0.488325119
test_long.txt,500,80,100,1.319592953
test_long.txt,500,80,200,1.214520931
test_long.txt,500,80,300,2.43304801
test_border.txt,500,80,100,0.165207863
test_border.txt,500,80,200,0.186233997
test_border.txt,500,80,300,0.170212984
test_short.txt,1000,80,100,0.278349876
test_short.txt,1000,80,200,0.175218821
test_short.txt,1000,80,300,0.181226969
accelerator.jpg,1000,80,100,2.465337992
accelerator.jpg,1000,80,200,2.569184065
accelerator.jpg,1000,80,300,3.251503944
test_medium.txt,1000,80,100,0.773380041
test_medium.txt,1000,80,200,1.042867899
test_medium.txt,1000,80,300,0.661828041
test_short.txt,1000,80,100,0.184231043
test_short.txt,1000,80,200,0.177222013
test_short.txt,1000,80,300,0.176944017
test_long.txt,1000,80,100,1.150441885
test_long.txt,1000,80,200,1.160453081
test_long.txt,1000,80,300,1.046309948
test_border.txt,1000,80,100,0.213267803
test_border.txt,1000,80,200,0.21326685
test_border.txt,1000,80,300,0.17121315
